accessor,role,buffer_view,binary_offset,row_stride_bytes,payload_bytes,byte_identical,changed_bytes,source_sha256,result_sha256
15,ANIMATION,18,848728,12,6480,True,0,16e7ddcb97e5d3b2ad9feb66c3b94474e5316dc008b18902ad52433da0f027a2,16e7ddcb97e5d3b2ad9feb66c3b94474e5316dc008b18902ad52433da0f027a2
16,ANIMATION,19,855208,16,8640,True,0,46d8b47b972439156d7578874a5edfd72cb5408c7de619b774460d912451670e,46d8b47b972439156d7578874a5edfd72cb5408c7de619b774460d912451670e
17,ANIMATION,20,863848,12,24,True,0,263cc43ad76e82e1a653075f86923e1d4b574ab31c674123fc3e813b2b4d3726,263cc43ad76e82e1a653075f86923e1d4b574ab31c674123fc3e813b2b4d3726
18,ANIMATION,21,863872,12,6480,True,0,da5e712a6d4ec81b37eb76df20f35187861a07c758477965216f1e3e0e930a8f,da5e712a6d4ec81b37eb76df20f35187861a07c758477965216f1e3e0e930a8f
19,ANIMATION,22,870352,16,8640,True,0,0320fa338c8b8a1e279fc5dc2aa83959e4c98f190fa565e9379ce31e69b98e06,0320fa338c8b8a1e279fc5dc2aa83959e4c98f190fa565e9379ce31e69b98e06
20,ANIMATION,23,878992,12,24,True,0,8839854878bf001b9f3bfbd0f577748e997f1e587d9c614a6c5b067978c387fa,8839854878bf001b9f3bfbd0f577748e997f1e587d9c614a6c5b067978c387fa
21,ANIMATION,24,879016,12,6480,True,0,56a31a3ebfcef1270d25d178eca3badaa8b0ac97135ab3686aaed0d0bbcd43d0,56a31a3ebfcef1270d25d178eca3badaa8b0ac97135ab3686aaed0d0bbcd43d0
22,ANIMATION,25,885496,16,8640,True,0,957d08512398808d6cf050ec8392caf66f595689a24100695d2feb841d7bb82c,957d08512398808d6cf050ec8392caf66f595689a24100695d2feb841d7bb82c
23,ANIMATION,26,894136,12,24,True,0,4a1363bc0a9beb7b79bd88c6dc13284733078461d3fe1799eeb11b902074c727,4a1363bc0a9beb7b79bd88c6dc13284733078461d3fe1799eeb11b902074c727
24,ANIMATION,27,894160,12,6480,True,0,346eca9b459765dbafd913589a00a63ff770298492db7b7ecb3c3e3164c8c387,346eca9b459765dbafd913589a00a63ff770298492db7b7ecb3c3e3164c8c387
25,ANIMATION,28,900640,16,8640,True,0,49122c98cbc689708df383eaaa1639c140cceca3337cfa19264da4c83a97a9c5,49122c98cbc689708df383eaaa1639c140cceca3337cfa19264da4c83a97a9c5
26,ANIMATION,29,909280,12,24,True,0,11b3ecbbcd31ae9216dc3ab235b81cc1bf2731732669115fa63b721e9ab60d36,11b3ecbbcd31ae9216dc3ab235b81cc1bf2731732669115fa63b721e9ab60d36
27,ANIMATION,30,909304,12,6480,True,0,2b0059b733d5513516d055cdad81dfc23f33f0dbd67f67e9ee6669faaf39b9da,2b0059b733d5513516d055cdad81dfc23f33f0dbd67f67e9ee6669faaf39b9da
28,ANIMATION,31,915784,16,8640,True,0,487feb414c0e9feea08634e56bfa0afda7dbfd3f38438252de50b3adf1c0ebce,487feb414c0e9feea08634e56bfa0afda7dbfd3f38438252de50b3adf1c0ebce
29,ANIMATION,32,924424,12,24,True,0,845aa6ad4e6d2538dc4399ba436807fa4dd0082ee76d8663e5c96e3a7de77501,845aa6ad4e6d2538dc4399ba436807fa4dd0082ee76d8663e5c96e3a7de77501
30,ANIMATION,33,924448,12,6480,True,0,51a8604f1a6fcceb0e05c9a3a7113930d8e120398268db4e744546ab7a98f853,51a8604f1a6fcceb0e05c9a3a7113930d8e120398268db4e744546ab7a98f853
31,ANIMATION,34,930928,16,32,True,0,2d279645c8387eac2f93059f22a17903a5d458f3f0252272c77d7d3c5e27ddd5,2d279645c8387eac2f93059f22a17903a5d458f3f0252272c77d7d3c5e27ddd5
32,ANIMATION,35,930960,12,24,True,0,610c4a7523de08cb8ee3f88a9e50f98fafa03e5e1e0671034cdd60b6f204f2e1,610c4a7523de08cb8ee3f88a9e50f98fafa03e5e1e0671034cdd60b6f204f2e1
33,ANIMATION,36,930984,12,6480,True,0,f18ceae1fae5ccac67571b9bf6255d92c06ae0d915a194db34f439821244eda9,f18ceae1fae5ccac67571b9bf6255d92c06ae0d915a194db34f439821244eda9
34,ANIMATION,37,937464,16,8640,True,0,b254525d374a7e2bc3f034a2038a30ad0d25b938dabde7023528e14a23227029,b254525d374a7e2bc3f034a2038a30ad0d25b938dabde7023528e14a23227029
35,ANIMATION,38,946104,12,24,True,0,fbab7fcdc7061776be614c27841de3a5ba75eae1f7f43fba0d6b6069b25d1569,fbab7fcdc7061776be614c27841de3a5ba75eae1f7f43fba0d6b6069b25d1569
36,ANIMATION,39,946128,12,6480,True,0,c7efe527a08aaeb3c50c036701321e898c18c5e35edd335d2b3a8e0f4c55c5ef,c7efe527a08aaeb3c50c036701321e898c18c5e35edd335d2b3a8e0f4c55c5ef
37,ANIMATION,40,952608,16,8640,True,0,a22f93142fbe7dcae4b7216e38d3c42344f098413cb0aa959540cf581c0999cd,a22f93142fbe7dcae4b7216e38d3c42344f098413cb0aa959540cf581c0999cd
38,ANIMATION,41,961248,12,24,True,0,8a0c875b2adf234164e07355c7965de40f0bc26b8b444b52d8f0516a88f921f2,8a0c875b2adf234164e07355c7965de40f0bc26b8b444b52d8f0516a88f921f2
39,ANIMATION,42,961272,12,6480,True,0,78d44d2b47c36ef69de8e0506a194ea8632210ec95a71f4e5beeadd15656f0a4,78d44d2b47c36ef69de8e0506a194ea8632210ec95a71f4e5beeadd15656f0a4
40,ANIMATION,43,967752,16,32,True,0,83b4f03ce6c561b9210c23f4ef67b6ce37ea6500261bc1249e09ea3178fb9b6e,83b4f03ce6c561b9210c23f4ef67b6ce37ea6500261bc1249e09ea3178fb9b6e
41,ANIMATION,44,967784,12,24,True,0,0d88bfbfbecce34b9efd6e417f99fbd3af51a19f1f66105ca0b325d494bea444,0d88bfbfbecce34b9efd6e417f99fbd3af51a19f1f66105ca0b325d494bea444
42,ANIMATION,45,967808,12,6480,True,0,4fd15c103c3ddc780ddabce72caa6b6c2887e122c6479c2282cc9336d0ff3eef,4fd15c103c3ddc780ddabce72caa6b6c2887e122c6479c2282cc9336d0ff3eef
43,ANIMATION,46,974288,16,32,True,0,510b3f3b91f2360ad67c6ad7b1c783ee87750cb71bda31a1957fb2586ab6090b,510b3f3b91f2360ad67c6ad7b1c783ee87750cb71bda31a1957fb2586ab6090b
44,ANIMATION,47,974320,12,24,True,0,ec0b96b1e63e54b1a33520df8faeebbb3353766f67647f80abcec57c6bea09ad,ec0b96b1e63e54b1a33520df8faeebbb3353766f67647f80abcec57c6bea09ad
45,ANIMATION,48,974344,12,6480,True,0,d6b20466657282cfeef25f19cbe80600539531a38119c47f302dd22088bcb1c7,d6b20466657282cfeef25f19cbe80600539531a38119c47f302dd22088bcb1c7
46,ANIMATION,49,980824,16,8640,True,0,c2f9b40dcea11fb68641c83e7bddbb38dff5d03ff0a5b5eafcb58af06b853d89,c2f9b40dcea11fb68641c83e7bddbb38dff5d03ff0a5b5eafcb58af06b853d89
47,ANIMATION,50,989464,12,24,True,0,319e763f2360937677afa1d00956bb17bb13d095bb335cf237a9f9948ce09eb6,319e763f2360937677afa1d00956bb17bb13d095bb335cf237a9f9948ce09eb6
48,ANIMATION,51,989488,12,6480,True,0,e56b3e3b6343609c0096d89ef5f9e21aecdb61dc0687201232cd6eef0402771b,e56b3e3b6343609c0096d89ef5f9e21aecdb61dc0687201232cd6eef0402771b
49,ANIMATION,52,995968,16,32,True,0,5301eb0ca957fbb2ed4b78273492d9dc75fc932f1361e4e15cc7fd80122058b1,5301eb0ca957fbb2ed4b78273492d9dc75fc932f1361e4e15cc7fd80122058b1
50,ANIMATION,53,996000,12,24,True,0,fda9bdfede33ea2c543fc61498a1a0ff8d477a3999b3adb4af307b0c923c7cc3,fda9bdfede33ea2c543fc61498a1a0ff8d477a3999b3adb4af307b0c923c7cc3
51,ANIMATION,54,996024,12,6480,True,0,8ee2fc60a73fe8bdb2cb92cd9c2c758bf9ce10db227a1bc5515a49a63a58a0ca,8ee2fc60a73fe8bdb2cb92cd9c2c758bf9ce10db227a1bc5515a49a63a58a0ca
52,ANIMATION,55,1002504,16,32,True,0,702931d65b2c8614b3552c8f17aace634d0843a623c58dbed4e6fada32ac067b,702931d65b2c8614b3552c8f17aace634d0843a623c58dbed4e6fada32ac067b
53,ANIMATION,56,1002536,12,24,True,0,1a57ffdb16b669b2d3956440181171fbd867eb480fd221c7d76d590b809810d8,1a57ffdb16b669b2d3956440181171fbd867eb480fd221c7d76d590b809810d8
54,ANIMATION,57,1002560,12,6480,True,0,707edb838ffc0badc806769c4922042fd6e4404d7382d67c82bb492ce28739e2,707edb838ffc0badc806769c4922042fd6e4404d7382d67c82bb492ce28739e2
55,ANIMATION,58,1009040,16,8640,True,0,b0cf4f8410eeefa6d840adb5e5f8783ede2188b966820fab208cb78807097277,b0cf4f8410eeefa6d840adb5e5f8783ede2188b966820fab208cb78807097277
56,ANIMATION,59,1017680,12,24,True,0,bebeac2f23e11ca15acc292880606aaad79b1def0a4109e94e49e2595d64c317,bebeac2f23e11ca15acc292880606aaad79b1def0a4109e94e49e2595d64c317
57,ANIMATION,60,1017704,12,6480,True,0,90859f716082f9a373cfb84a3080a3ee7b9472d3b98753d2b3b0ffa9dfa49ea2,90859f716082f9a373cfb84a3080a3ee7b9472d3b98753d2b3b0ffa9dfa49ea2
